 

stn;time;tre200s0
MOE;202304021650;10.4
MOE;202304021700;10.1
MOE;202304021710;9.9
MOE;202304021720;9.5
MOE;202304021730;9.2
MOE;202304021740;9.1
MOE;202304021750;9.1
MOE;202304021800;9.1
MOE;202304021810;8.8
MOE;202304021820;8.8
MOE;202304021830;8.5
MOE;202304021840;8.1
MOE;202304021850;8.1
MOE;202304021900;8.0
MOE;202304021910;7.9
MOE;202304021920;8.0
MOE;202304021930;8.0
MOE;202304021940;8.1
MOE;202304021950;8.1
MOE;202304022000;8.2
MOE;202304022010;8.2
MOE;202304022020;8.1
MOE;202304022030;8.1
MOE;202304022040;7.9
MOE;202304022050;7.9
MOE;202304022100;8.0
MOE;202304022110;8.0
MOE;202304022120;8.0
MOE;202304022130;8.1
MOE;202304022140;8.4
MOE;202304022150;8.3
MOE;202304022200;8.2
MOE;202304022210;8.1
MOE;202304022220;8.0
MOE;202304022230;8.2
MOE;202304022240;8.0
MOE;202304022250;7.9
MOE;202304022300;7.9
MOE;202304022310;7.9
MOE;202304022320;8.1
MOE;202304022330;8.1
MOE;202304022340;7.9
MOE;202304022350;7.8
MOE;202304030000;7.8
MOE;202304030010;7.6
MOE;202304030020;7.5
MOE;202304030030;7.4
MOE;202304030040;7.3
MOE;202304030050;7.2
MOE;202304030100;7.1
MOE;202304030110;7.0
MOE;202304030120;6.9
MOE;202304030130;6.8
MOE;202304030140;6.8
MOE;202304030150;6.7
MOE;202304030200;6.7
MOE;202304030210;6.7
MOE;202304030220;6.5
MOE;202304030230;6.4
MOE;202304030240;6.1
MOE;202304030250;6.0
MOE;202304030300;6.0
MOE;202304030310;5.9
MOE;202304030320;5.9
MOE;202304030330;5.8
MOE;202304030340;5.7
MOE;202304030350;5.6
MOE;202304030400;5.6
MOE;202304030410;5.5
MOE;202304030420;5.4
MOE;202304030430;5.3
MOE;202304030440;5.2
MOE;202304030450;5.2
MOE;202304030500;5.1
MOE;202304030510;5.0
MOE;202304030520;4.8
MOE;202304030530;4.8
MOE;202304030540;4.6
MOE;202304030550;4.6
MOE;202304030600;4.5
MOE;202304030610;4.5
MOE;202304030620;4.4
MOE;202304030630;4.2
MOE;202304030640;4.0
MOE;202304030650;3.8
MOE;202304030700;3.7
MOE;202304030710;3.9
MOE;202304030720;4.0
MOE;202304030730;3.9
MOE;202304030740;4.0
MOE;202304030750;4.0
MOE;202304030800;4.1
MOE;202304030810;4.2
MOE;202304030820;4.2
MOE;202304030830;4.4
MOE;202304030840;4.6
MOE;202304030850;4.5
MOE;202304030900;4.9
MOE;202304030910;4.9
MOE;202304030920;4.9
MOE;202304030930;5.1
MOE;202304030940;5.5
MOE;202304030950;5.7
MOE;202304031000;5.8
MOE;202304031010;5.7
MOE;202304031020;5.3
MOE;202304031030;5.5
MOE;202304031040;5.8
MOE;202304031050;5.9
MOE;202304031100;6.1
MOE;202304031110;6.3
MOE;202304031120;6.3
MOE;202304031130;6.3
MOE;202304031140;6.4
MOE;202304031150;6.7
MOE;202304031200;6.5
MOE;202304031210;6.7
MOE;202304031220;6.5
MOE;202304031230;6.7
MOE;202304031240;6.8
MOE;202304031250;6.9
MOE;202304031300;6.8
MOE;202304031310;6.8
MOE;202304031320;6.8
MOE;202304031330;6.7
MOE;202304031340;6.8
MOE;202304031350;6.8
MOE;202304031400;6.7
MOE;202304031410;6.9
MOE;202304031420;7.0
MOE;202304031430;6.8
MOE;202304031440;6.9
MOE;202304031450;7.0
MOE;202304031500;7.0
MOE;202304031510;6.9
MOE;202304031520;7.0
MOE;202304031530;7.0
MOE;202304031540;6.8
MOE;202304031550;6.5
MOE;202304031600;6.6
MOE;202304031610;6.7
MOE;202304031620;6.8
MOE;202304031630;6.7
MOE;202304031640;6.5
MOE;202304031650;6.3
MOE;202304031700;6.3
MOE;202304031710;6.3
MOE;202304031720;6.3
MOE;202304031730;6.2
MOE;202304031740;6.1
MOE;202304031750;6.0
MOE;202304031800;6.0
MOE;202304031810;5.8
MOE;202304031820;5.6
MOE;202304031830;5.4
MOE;202304031840;5.0
MOE;202304031850;4.4
MOE;202304031900;4.8
MOE;202304031910;4.8
MOE;202304031920;4.7
MOE;202304031930;4.6
MOE;202304031940;4.5
MOE;202304031950;4.5
MOE;202304032000;4.4
MOE;202304032010;4.3
MOE;202304032020;4.3
MOE;202304032030;4.2
MOE;202304032040;4.0
MOE;202304032050;4.0
MOE;202304032100;3.9
MOE;202304032110;4.0
MOE;202304032120;4.0
MOE;202304032130;3.7
MOE;202304032140;3.7
MOE;202304032150;3.6
MOE;202304032200;3.5
MOE;202304032210;3.4
MOE;202304032220;3.4
MOE;202304032230;3.4
MOE;202304032240;3.3
MOE;202304032250;3.3
MOE;202304032300;3.1
MOE;202304032310;3.2
MOE;202304032320;3.0
MOE;202304032330;3.0
MOE;202304032340;3.0
MOE;202304032350;2.8
MOE;202304040000;2.7
MOE;202304040010;2.5
MOE;202304040020;2.7
MOE;202304040030;2.6
MOE;202304040040;2.6
MOE;202304040050;2.5
MOE;202304040100;2.2
MOE;202304040110;2.2
MOE;202304040120;2.1
MOE;202304040130;2.1
MOE;202304040140;2.0
MOE;202304040150;1.8
MOE;202304040200;1.5
MOE;202304040210;1.5
MOE;202304040220;1.4
MOE;202304040230;1.3
MOE;202304040240;1.2
MOE;202304040250;1.3
MOE;202304040300;1.1
MOE;202304040310;0.8
MOE;202304040320;0.9
MOE;202304040330;0.9
MOE;202304040340;0.7
MOE;202304040350;0.7
MOE;202304040400;0.8
MOE;202304040410;0.5
MOE;202304040420;0.6
MOE;202304040430;0.1
MOE;202304040440;0.0
MOE;202304040450;0.0
MOE;202304040500;-0.2
MOE;202304040510;-0.2
MOE;202304040520;-0.1
MOE;202304040530;-0.6
MOE;202304040540;-0.2
MOE;202304040550;0.0
MOE;202304040600;0.3
MOE;202304040610;0.5
MOE;202304040620;0.8
MOE;202304040630;1.0
MOE;202304040640;1.3
MOE;202304040650;1.3
MOE;202304040700;1.6
MOE;202304040710;1.8
MOE;202304040720;2.0
MOE;202304040730;2.4
MOE;202304040740;2.6
MOE;202304040750;2.7
MOE;202304040800;3.0
MOE;202304040810;3.1
MOE;202304040820;3.3
MOE;202304040830;3.6
MOE;202304040840;3.7
MOE;202304040850;4.0
MOE;202304040900;4.2
MOE;202304040910;4.4
MOE;202304040920;4.7
MOE;202304040930;4.9
MOE;202304040940;5.2
MOE;202304040950;5.1
MOE;202304041000;5.4
MOE;202304041010;5.8
MOE;202304041020;5.9
MOE;202304041030;6.1
MOE;202304041040;6.5
MOE;202304041050;6.7
MOE;202304041100;6.8
MOE;202304041110;7.1
MOE;202304041120;7.3
MOE;202304041130;7.5
MOE;202304041140;7.9
MOE;202304041150;7.7
MOE;202304041200;8.1
MOE;202304041210;7.9
MOE;202304041220;8.2
MOE;202304041230;8.3
MOE;202304041240;8.4
MOE;202304041250;8.4
MOE;202304041300;8.6
MOE;202304041310;8.6
MOE;202304041320;8.7
MOE;202304041330;8.7
MOE;202304041340;8.7
MOE;202304041350;8.8
MOE;202304041400;8.7
MOE;202304041410;8.9
MOE;202304041420;8.7
MOE;202304041430;8.7
MOE;202304041440;8.7
MOE;202304041450;8.7
MOE;202304041500;8.7
MOE;202304041510;8.7
MOE;202304041520;8.5
MOE;202304041530;8.6
MOE;202304041540;8.4
MOE;202304041550;8.3
MOE;202304041600;8.3
MOE;202304041610;8.2
MOE;202304041620;8.0
MOE;202304041630;7.9
MOE;202304041640;7.8
MOE;202304041650;7.6
MOE;202304041700;7.4
MOE;202304041710;7.2
MOE;202304041720;6.9
MOE;202304041730;6.7
MOE;202304041740;6.5
MOE;202304041750;6.3
MOE;202304041800;5.9
MOE;202304041810;5.8
MOE;202304041820;5.6
MOE;202304041830;5.3
MOE;202304041840;5.4
MOE;202304041850;5.3
MOE;202304041900;5.3
