 

stn;time;tre200s0
GRA;202305101650;11.2
GRA;202305101700;11.2
GRA;202305101710;11.4
GRA;202305101720;11.3
GRA;202305101730;10.6
GRA;202305101740;10.4
GRA;202305101750;10.2
GRA;202305101800;10.1
GRA;202305101810;10.1
GRA;202305101820;10.1
GRA;202305101830;9.9
GRA;202305101840;9.7
GRA;202305101850;9.6
GRA;202305101900;9.5
GRA;202305101910;9.5
GRA;202305101920;9.5
GRA;202305101930;9.4
GRA;202305101940;9.4
GRA;202305101950;9.3
GRA;202305102000;9.1
GRA;202305102010;8.9
GRA;202305102020;8.9
GRA;202305102030;8.9
GRA;202305102040;8.6
GRA;202305102050;8.8
GRA;202305102100;8.6
GRA;202305102110;8.6
GRA;202305102120;8.8
GRA;202305102130;8.7
GRA;202305102140;8.7
GRA;202305102150;8.8
GRA;202305102200;8.6
GRA;202305102210;8.6
GRA;202305102220;8.7
GRA;202305102230;8.9
GRA;202305102240;9.0
GRA;202305102250;8.9
GRA;202305102300;8.9
GRA;202305102310;8.8
GRA;202305102320;8.8
GRA;202305102330;8.7
GRA;202305102340;8.6
GRA;202305102350;8.6
GRA;202305110000;8.6
GRA;202305110010;8.5
GRA;202305110020;8.5
GRA;202305110030;8.6
GRA;202305110040;8.4
GRA;202305110050;8.4
GRA;202305110100;8.4
GRA;202305110110;8.4
GRA;202305110120;8.3
GRA;202305110130;8.3
GRA;202305110140;8.3
GRA;202305110150;8.4
GRA;202305110200;8.5
GRA;202305110210;8.5
GRA;202305110220;8.5
GRA;202305110230;8.6
GRA;202305110240;8.4
GRA;202305110250;8.5
GRA;202305110300;8.4
GRA;202305110310;8.4
GRA;202305110320;8.4
GRA;202305110330;8.4
GRA;202305110340;8.4
GRA;202305110350;8.2
GRA;202305110400;8.1
GRA;202305110410;7.7
GRA;202305110420;7.9
GRA;202305110430;8.3
GRA;202305110440;8.2
GRA;202305110450;8.3
GRA;202305110500;8.4
GRA;202305110510;8.4
GRA;202305110520;8.3
GRA;202305110530;8.4
GRA;202305110540;8.5
GRA;202305110550;8.7
GRA;202305110600;8.8
GRA;202305110610;8.9
GRA;202305110620;9.0
GRA;202305110630;9.0
GRA;202305110640;9.0
GRA;202305110650;8.9
GRA;202305110700;8.9
GRA;202305110710;8.9
GRA;202305110720;8.9
GRA;202305110730;9.1
GRA;202305110740;9.3
GRA;202305110750;9.4
GRA;202305110800;9.9
GRA;202305110810;9.8
GRA;202305110820;10.2
GRA;202305110830;10.6
